HF	tac	d1 optimal (s)	Total delay	Fz
1.175	0.12808309331285023	0.13013013013013014	0.25821322344298037	0.015895899700827835
2.35	0.16616201053394616	0.6406406406406406	0.8068026511745868	0.03232734934377737
3.5250000000000004	0.19681938738494048	1.2712712712712713	1.4680906586562117	0.05200110692256092
4.7	0.2290487305521009	1.7417417417417418	1.9707904722938427	0.073303333034205
5.875	0.26436254500318335	1.981981981981982	2.2463445269851654	0.09564447211204798
7.05	0.30226454648620954	2.012012012012012	2.314276558498222	0.11813128411291068
8.225000000000001	0.3407008068947239	1.921921921921922	2.2626227288166456	0.14090324917335142
9.4	0.3759748830766356	1.7617617617617618	2.137736644838397	0.16349112845768737
10.575000000000001	0.403114573655626	1.5815815815815815	1.9846961552372075	0.18600609885855546
11.750000000000002	0.41717406448714955	1.4014014014014013	1.818575465888551	0.20801201800464167
12.925	0.41520771302421405	1.2512512512512513	1.6664589642754652	0.23029864646955753
14.100000000000001	0.39770893241402183	1.1211211211211212	1.5188300535351429	0.2519162325063867
15.275000000000002	0.36835933877863924	1.021021021021021	1.3893803597996603	0.27369476898487083
16.45	0.33230784531307533	0.9409409409409409	1.2732487862540163	0.29526832475494996
17.625	0.2943083706647317	0.8808808808808809	1.1751892515456126	0.3173578912375738
18.8	0.2577171491396015	0.8308308308308309	1.0885479799704323	0.33942556687258263
19.975	0.22439536236687935	0.7807807807807807	1.00517614314766	0.3602492964239156
21.150000000000002	0.195073043262991	0.7407407407407407	0.9358137840037317	0.3817497788481458
22.325000000000003	0.16978719288043498	0.7007007007007007	0.8704878935811357	0.40226295711894766
23.5	0.14822147277715295	0.6706706706706707	0.8188921434478236	0.42422939685408834
24.675	0.12992045500954444	0.6406406406406406	0.770561095650185	0.44548138957990857
25.85	0.11440690666961478	0.6206206206206206	0.7350275272902353	0.46905725569951434
27.025000000000002	0.10123768113210385	0.5905905905905906	0.6918282717226945	0.48877186527193023
28.200000000000003	0.09002512866136361	0.5705705705705706	0.6605956992319342	0.5111724598115339
29.375000000000004	0.08044093219703881	0.5505505505505506	0.6309914827475894	0.5329622854545616
30.55	0.07221194177281662	0.5305305305305306	0.6027424723033472	0.5540283112541982
31.725	0.06511303680322345	0.5105105105105106	0.575623547313734	0.5742539054876994
32.9	0.058959471442791636	0.4904904904904905	0.5494499619332821	0.5935177259912763
34.074999999999996	0.05359978605001105	0.4804804804804805	0.5340802665304916	0.6174956063690975
35.25	0.048909673962036104	0.47047047047047047	0.5193801444325066	0.6411219098307926
